,Header,Description,Time,Label
44,1 in 10: Redefining the Asian American Dream (Short Film),"Of the 24 million Asians living in the United States, about 2.3 million live in poverty. This short film explores their diverse stories and experiences.",2024-03-27T00:00:00+00:00,video
45,Public’s Positive Economic Ratings Slip; Inflation Still Widely Viewed as Major Problem,Majorities of both Republicans and Democrats remain fearful about the state of the country.,2024-05-23T00:00:00+00:00,report
46,Key facts about Asian American eligible voters in 2024,Asian Americans have been the fastest-growing group of eligible voters in the United States over roughly the past two decades and since 2020.,2024-01-10T00:00:00+00:00,short reads
47,Q&A: A behind-the-scenes look at Pew Research Center’s extensive new survey of Asian Americans,This project is the largest nationally representative survey of its kind to date focused on Asian Americans.,2023-05-08T00:00:00+00:00,short reads
48,Key facts about the nation’s 47.9 million Black Americans,"The number of Black people living in the United States reached a new high of 47.9 million in 2022, up about a third (32%) since 2000.",2024-01-18T00:00:00+00:00,short reads
49,The State of the Asian American Middle Class,"The share of Asian Americans in the U.S. middle class has held steady since 2010, while the share in the upper-income tier has grown.",2024-05-31T00:00:00+00:00,report
50,"Most Asian Americans View Their Ancestral Homelands Favorably, Except Chinese Americans","Around three-quarters of Asian Americans (78%) have a favorable view of the United States. Majorities of Filipino, Indian, Japanese, Korean, Taiwanese and Vietnamese adults in the U.S. have a favorable view of their own ancestral homeland. By contrast, fewer than half of Chinese Americans say they have a favorable opinion of China.",2023-07-19T00:00:00+00:00,report
51,In Their Own Words: Asian Immigrants’ Experiences Navigating Language Barriers in the United States,"Across 49 focus groups with Asian immigrants, daily challenges related to speaking English emerged as a common theme. Participants also shared frustration, stress and at times sadness in dealing with cultural and language barriers, and described support they received from others.",2022-12-19T00:00:00+00:00,report
52,Cultural Issues and the 2024 Election,"Voters who support Biden and Trump have starkly different opinions on many issues, and these two groups are divided internally as well.",2024-06-06T00:00:00+00:00,report
53,Korean Americans are much more likely than people in South Korea to be Christian,Korean American adults are much less likely than adults in South Korea to be religiously unaffiliated or to be Buddhist.,2024-08-30T00:00:00+00:00,short reads
54,Half of Latinas Say Hispanic Women’s Situation Has Improved in the Past Decade and Expect More Gains,"Government data shows gains in education, employment and earnings for Hispanic women, but gaps with other groups remain.",2024-05-15T00:00:00+00:00,report
55,5 facts about Arabic speakers in the U.S.,"The number of people ages 5 and older who speak Arabic at home in the U.S. has risen from 215,000 in 1980 to 1.4 million in 2021.",2023-05-18T00:00:00+00:00,short reads
56,Asian Americans Hold Mixed Views Around Affirmative Action,"About half of Asian adults who have heard of affirmative action (53%) say it is a good thing, 19% say it is a bad thing, and 27% say they don’t know whether it is good or bad. However, about three-quarters of all Asian adults (76%) say race or ethnicity should not factor into college admissions decisions.",2023-06-08T00:00:00+00:00,report
57,"After declining early in the COVID-19 outbreak, immigrant naturalizations in the U.S. are rising again","An estimated 940,000 immigrants became U.S. citizens during the 2022 fiscal year. That annual total would be the third-highest on record.",2022-12-01T00:00:00+00:00,short reads
58,"On most issues, Black voters are more confident in Harris than Trump","The economy, health care, and racial and ethnic inequality are among the top issues for Black voters in the presidential election.",2024-09-30T00:00:00+00:00,short reads
59,"Facts on Hispanics with origins from Spain in the United States, 2021","An estimated 990,000 Hispanics of Spanish origin – those who are immigrants from or trace their family ancestry to Spain – resided in the United States in 2021, according to a Pew Research Center analysis.",2023-08-16T00:00:00+00:00,fact sheet
60,Most Voters Say Harris Will Concede – and Trump Won’t – If Defeated in the Election,"About seven-in-ten voters say if Harris loses the 2024 election she will accept the results and concede, while roughly a quarter say Trump will do this if he loses. And a majority of voters say the threat of violence against political leaders and their families is a major problem in the country.",2024-10-10T00:00:00+00:00,report
61,Key facts about Hispanic eligible voters in 2024,"An estimated 36.2 million Hispanics are eligible to vote this year, up from 32.3 million in 2020.",2024-01-10T00:00:00+00:00,short reads
62,"Latino Republicans hold distinct views on guns and immigration, highlighting their shaky ties to GOP","U.S. Hispanics’ policy views do not always align with those of non-Latinos in the same party, recent surveys have found.",2022-11-07T00:00:00+00:00,short reads
63,Republicans and Democrats have different top priorities for U.S. immigration policy,There are sizable ideological differences over the most pressing priorities for the U.S. immigration system within each partisan coalition.,2022-09-08T00:00:00+00:00,short reads
64,How U.S. Public Opinion Has Changed in 20 Years of Our Surveys,We took a closer look at how Americans’ views and experiences have evolved on a variety of topics over the last 20 years.,2024-09-13T00:00:00+00:00,data essay
65,Asian Americans: A Survey Data Snapshot,"Here’s how Asian Americans describe their own identities, their views of the U.S. and their ancestral homelands, their political and religious affiliations, and more.",2024-08-06T00:00:00+00:00,data essay
66,The State of the American Middle Class,"As the financial divide has grown, a smaller share of Americans now live in middle-class households. Here are key facts about this group.",2024-05-31T00:00:00+00:00,report
67,House Freedom Caucus on Twitter: Going negative and getting attention,House Freedom Caucus members and their allies produced 28% of all tweets from GOP House members between September 2022 and mid-January 2023.,2023-01-31T00:00:00+00:00,short reads
68,The changing face of Congress in 8 charts,"The 118th Congress achieved a variety of demographic milestones when its members took office, though it still remains out of step with the U.S. population.",2023-02-07T00:00:00+00:00,short reads
69,"Biden, Trump supporters both say the U.S. economic system unfairly favors powerful interests",Trump and Biden supporters share a fair amount of common ground when it comes to criticisms of the U.S. economic system.,2024-06-24T00:00:00+00:00,short reads
70,"Amid Doubts About Biden’s Mental Sharpness, Trump Leads Presidential Race",Majorities of voters express dissatisfaction with the candidates. And 63% of voters describe both Biden and Trump as “embarrassing.”,2024-07-11T00:00:00+00:00,report
71,Who is Hispanic?,"The Census Bureau estimates there were 65.2 million Hispanics in the U.S. as of July 2023, a new high. They made up more than 19% of the nation’s population.",2024-09-12T00:00:00+00:00,short reads
72,"Most Americans express support for taking in refugees, but opinions vary by party and other factors",72% of Americans say taking in civilian refugees should be an important goal for immigration policy in the United States.,2022-09-19T00:00:00+00:00,short reads
73,Working on Columbus Day or Indigenous Peoples’ Day? It depends on where your job is,16 states and the territory of American Samoa still observe the second Monday in October as an official public holiday exclusively called Columbus Day.,2023-10-05T00:00:00+00:00,short reads
74,"As the 2022 campaign draws to a close, here’s how federal, state and local candidates have used Twitter","One-in-five federal, state and local candidate tweets in 2022 have mentioned race, abortion, education or the economy.",2022-11-02T00:00:00+00:00,short reads
75,"Among U.S. Latinos, Catholicism Continues to Decline but Is Still the Largest Faith","Catholics remain the largest religious group among Latinos in the United States, even as their share among Latino adults has steadily declined over the past decade. The share of Latinos who are religiously unaffiliated is now on par with U.S. adults overall.",2023-04-13T00:00:00+00:00,report
76,How Latino voters view the 2024 presidential election,"While Latino voters have favored Democratic candidates in presidential elections for many decades, the margin of support has varied.",2024-07-19T00:00:00+00:00,short reads
77,What It Means To Be Asian in America,"In a new analysis based on dozens of focus groups, Asian American participants described the challenges of navigating their own identity in a nation where the label “Asian” brings expectations about their origins, behavior and physical self.",2022-08-02T00:00:00+00:00,data essay
78,Relatively few Asian Americans say they’re well-informed about Asian history in the U.S.,About one-in-four Asian Americans (24%) consider themselves extremely or very informed about the history of Asian people in the United States.,2023-06-29T00:00:00+00:00,short reads
79,"Globally, Government Restrictions on Religion Reached Peak Levels in 2021, While Social Hostilities Went Down","In 2021, government restrictions on religion – laws, policies and actions by state officials that limit religious beliefs and practices – reached a new peak globally. Harassment of religious groups and interference in worship were two of the most common forms of government restrictions worldwide that year.",2024-03-05T00:00:00+00:00,report
80,Economy Remains the Public’s Top Policy Priority; COVID-19 Concerns Decline Again,Americans now see reducing the budget deficit as a higher priority for the president and Congress to address than in recent years. But strengthening the economy continues to be the public’s top policy priority.,2023-02-06T00:00:00+00:00,report
81,Migrant encounters at U.S.-Mexico border have fallen sharply in 2024,The monthly number of U.S. Border Patrol encounters with migrants crossing from Mexico has plummeted in 2024 from 2023’s record high.,2024-10-01T00:00:00+00:00,short reads
82,Americans’ Views of Government’s Role: Persistent Divisions and Areas of Agreement,Most Biden supporters favor a bigger government with a strong social safety net. Trump backers generally take the opposing view.,2024-06-24T00:00:00+00:00,report
83,Facts About the U.S. Black Population,"Key statistics and data about the demographic, geographic and economic characteristics of the U.S. Black population.",2024-01-18T00:00:00+00:00,fact sheet
84,"Asian voters in the U.S. tend to be Democratic, but Vietnamese American voters are an exception","About six-in-ten Asian American registered voters are Democrats or lean Democratic, but 51% of Vietnamese American voters tilt Republican.",2023-05-25T00:00:00+00:00,short reads
85,Q&A: Why and how Pew Research Center conducted 66 focus groups with Asian Americans,This project represents our first comprehensive examination of Asian American identity using focus groups. Here’s how and why we did it.,2022-08-02T00:00:00+00:00,short reads
86,Legal immigration to the U.S. partially rebounds as national and global borders reopen,The number of immigrants receiving green cards as new lawful U.S. permanent residents bounced back last year to pre-pandemic levels.,2022-04-04T00:00:00+00:00,short reads
87,How Republicans view their party and key issues facing the country as the 118th Congress begins,Republicans now hold a narrow majority in the U.S. House of Representatives. Here’s a look at their views on key issues and the GOP’s future.,2023-01-19T00:00:00+00:00,short reads
88,"Key facts about Title 42, the pandemic policy that has reshaped immigration enforcement at U.S.-Mexico border","As the debate over the future of Title 42 unfolds, here are answers to key questions about the immigration policy.",2022-04-27T00:00:00+00:00,short reads
89,How a coding error provided a rare glimpse into Latino identity among Brazilians in the U.S.,An error in how the Census Bureau processed data from a national survey provided a rare window into how Brazilians living in the U.S. view their identity.,2023-04-19T00:00:00+00:00,short reads
90,"African immigrants in U.S. more religious than other Black Americans, and more likely to be Catholic",Immigrants from sub-Saharan Africa tend to be more religious than U.S.-born Black adults or immigrants from the Caribbean.,2021-12-07T00:00:00+00:00,short reads
91,How People in 24 Countries Think Democracy Can Improve,"We asked over 30,000 people what would help democracy work better in their country. Key themes in their responses were addressing basic needs and improving or rebuilding the political system.",2024-03-13T00:00:00+00:00,feature
92,Key findings about Black immigrants in the U.S.,"The number of Black immigrants living in the country reached 4.6 million in 2019, up from roughly 800,000 in 1980.",2022-01-27T00:00:00+00:00,short reads
93,Asian American voters prioritize candidates’ policy positions over their racial identity,97% of Asian Americans registered to vote say a candidate’s policy positions are more important than their race or ethnicity when deciding whom to vote for.,2023-09-26T00:00:00+00:00,short reads
94,Fewer than 1% of federal criminal defendants were acquitted in 2022,"In 2022, only 290 of 71,954 defendants in federal criminal cases – about 0.4% – went to trial and were acquitted.",2023-06-14T00:00:00+00:00,short reads
95,Around four-in-ten Latinos in U.S. worry that they or someone close to them could be deported,"Nearly four-in-ten Latinos (39%) say they worry that they, a family member or someone close to them could be deported.",2022-02-14T00:00:00+00:00,short reads
96,In Their Own Words: The Diverse Perspectives of Being Asian in America,"Use this quote sorter to read how focus group participants answered the question, “What does it mean to be you in America?”",2022-08-02T00:00:00+00:00,feature
97,"Latinos See U.S. as Better Than Place of Family’s Ancestry for Opportunity, Raising Kids, Health Care Access",Most Latino immigrants say they would come to the U.S. again.,2022-01-20T00:00:00+00:00,report
98,One-in-Ten Black People Living in the U.S. Are Immigrants,Immigrants – particularly those from African nations – are a growing share of the U.S. Black population.,2022-01-20T00:00:00+00:00,report
99,Government considering changes ahead of 2030 census – including no more forms for most Americans,"The bureau is considering counting most Americans using Social Security data, IRS files and other administrative records.",2022-11-09T00:00:00+00:00,short reads
100,"When surveying small populations, some approaches are more inclusive than others","Modern survey tools offer several ways to survey small populations, and in this explainer, we discuss the strengths and weaknesses of prominent approaches.",2023-05-08T00:00:00+00:00,short reads
101,Race Is Central to Identity for Black Americans and Affects How They Connect With Each Other,Many Black Americans say they learn about their ancestors and U.S. Black history from family.,2022-04-14T00:00:00+00:00,report
102,Key facts about U.S. immigration policies and Biden’s proposed changes,"Since Joe Biden took office in 2021, his administration has acted on a number of fronts to reverse Trump-era restrictions on immigration.",2022-01-11T00:00:00+00:00,short reads
103,Key Findings From the Global Religious Futures Project,"The Global Religious Futures (GRF) project is jointly funded by The Pew Charitable Trusts and The John Templeton Foundation. Here are some big-picture findings from the GRF, together with context from other Pew Research Center studies.",2022-12-21T00:00:00+00:00,data essay
104,Black Americans’ Views on Success in the U.S.,"While Black adults define personal and financial success in different ways, most see these measures of success as major sources of pressure in their lives.",2024-02-08T00:00:00+00:00,report
105,"118th Congress breaks record for lesbian, gay and bisexual representation","Thirteen voting members of the 118th Congress identify as lesbian, gay or bisexual – the highest number of openly LGB members in history.",2023-01-11T00:00:00+00:00,short reads
106,"How do people in the U.S. take Pew Research Center surveys, anyway?","Here, we address some of the most common questions we receive about the nuts and bolts of taking a U.S.-focused Pew Research Center poll.",2024-06-26T00:00:00+00:00,short reads
107,Most Black Americans Believe U.S. Institutions Were Designed To Hold Black People Back,Those who experienced racial discrimination are more likely to say these institutions intentionally or negligently harm Black people.,2024-06-15T00:00:00+00:00,report
108,Black Catholics in America,"Most Black Catholic churchgoers are racial minorities in their congregations, unlike White and Hispanic Catholics – and Black Protestants",2022-03-15T00:00:00+00:00,report
109,State of the Union 2022: How Americans view major national issues,"Here’s a look at public opinion on some of the key issues facing the country, drawn from recent Pew Research Center surveys.",2022-02-25T00:00:00+00:00,short reads
110,"Americans’ Views of Government: Decades of Distrust, Enduring Support for Its Role",65% say most political candidates run for office “to serve their own personal interests.”,2022-06-06T00:00:00+00:00,report
111,"For Black Americans, family and friends are a primary source of information on U.S. Black history",About half of Black Americans (51%) say they are very or extremely informed about the history of Black people in the U.S.,2022-02-11T00:00:00+00:00,short reads
112,"Most Latinos Say Democrats Care About Them and Work Hard for Their Vote, Far Fewer Say So of GOP","Abortion has risen as an election issue for Latinos, with a majority saying it should be legal in all or most cases. Meanwhile, 80% say the economy is a very important issue when deciding who to vote for in the upcoming congressional midterm elections, a greater share than any other issue.",2022-09-29T00:00:00+00:00,report
113,Public’s Top Priority for 2022: Strengthening the Nation’s Economy,"Dealing with coronavirus has declined as a policy priority, especially among Republicans. This marks a shift from last year, when the economy and the coronavirus both topped the public’s policy agenda.",2022-02-16T00:00:00+00:00,report
114,Republicans More Likely Than Democrats To Say Partisan Control of Congress ‘Really Matters’,71% of Republican voters say their vote for Congress is “against Biden.”,2022-03-24T00:00:00+00:00,report
115,"Clear majorities of Black Americans favor marijuana legalization, easing of criminal penalties",57% of Black adults say marijuana should be legal for medical and recreational use by adults; 28% say it should be legal for medical use only.,2022-06-08T00:00:00+00:00,short reads
116,Hispanic Americans’ Trust in and Engagement With Science,Increasing representation in science is seen as important for attracting more Hispanic people to science.,2022-06-14T00:00:00+00:00,report
117,Religious ‘switching’ patterns will help determine Christianity’s course in U.S.,"Whether the U.S. will continue to have a Christian majority in 2070 will depend on many factors, including religious “switching.”",2022-09-29T00:00:00+00:00,short reads
118,Facts on Latinos in the U.S.,"There were nearly 62.5 million Latinos in the United States in 2021, accounting for approximately 19% of the total U.S. population.",2023-08-16T00:00:00+00:00,fact sheet
119,Key facts about U.S. voter priorities ahead of the 2022 midterm elections,"As Election Day approaches, here’s a look at voters’ issue priorities, based mainly on a Pew Research Center survey conducted Oct. 10-16.",2022-11-03T00:00:00+00:00,short reads
120,Immigrants in U.S. experienced higher unemployment in the pandemic but have closed the gap,"With the economic recovery gaining momentum, unemployment among immigrants is about equal with that of U.S.-born workers.",2021-07-26T00:00:00+00:00,short reads
121,"By a wide margin, Americans view inflation as the top problem facing the country today","Seven-in-ten Americans view inflation as a very big problem for the country, followed by the affordability of health care and violent crime.",2022-05-12T00:00:00+00:00,short reads
122,"Wealth Surged in the Pandemic, but Debt Endures for Poorer Black and Hispanic Families","About one-in-four Black households and one-in-seven Hispanic households had no wealth or were in debt in 2021, compared with about one-in-ten U.S. households overall.",2023-12-04T00:00:00+00:00,report
123,"Before COVID-19, more Mexicans came to the U.S. than left for Mexico for the first time in years","An estimated 870,000 Mexican migrants came to the U.S. between 2013-18, while an estimated 710,000 left the U.S. for Mexico during that time.",2021-07-09T00:00:00+00:00,short reads
124,"Global population skews male, but UN projects parity between sexes by 2050","The number of males has exceeded the number of females since the mid-1960s. But by 2050, the worldwide sex ratio is expected to even out.",2022-08-31T00:00:00+00:00,short reads
125,A Biden-Trump faceoff in 2024 wouldn’t be the first presidential rematch,"If a Biden-Trump rematch comes about in 2024, it would be the seventh presidential rematch in U.S. history, and the first since the 1950s.",2023-05-16T00:00:00+00:00,short reads
126,"Midterm Voting Intentions Are Divided, Economic Gloom Persists","The economy is clearly the top issue for voters; fully 79% say it will be very important to their voting decisions – the highest share among 18 issues included on the survey. The public continues to take a dim view of current economic conditions. Just 17% of U.S. adults say the economy is in excellent or good shape, little changed from the 13% who said this in July.",2022-10-20T00:00:00+00:00,report
127,10 facts about Black Republicans,"Black Republicans tend to support individualistic approaches to addressing racial inequality, while Black Democrats back institutional approaches.",2022-11-07T00:00:00+00:00,short reads
128,"In U.S., Far More Support Than Oppose Separation of Church and State","Some Americans clearly long for a more avowedly religious and explicitly Christian country, a March survey finds. However, a clear majority of Americans do not accept these views.",2021-10-28T00:00:00+00:00,report
129,"Immigration was a top focus of early Biden coverage, especially among outlets with right-leaning audiences",Immigration was one of the five topics most covered by 25 major news outlets in the first 60 days of the Biden administration.,2021-05-12T00:00:00+00:00,short reads
130,Latinos experience discrimination from other Latinos about as much as from non-Latinos,About a quarter of Latino adults say they have personally experienced discrimination or unfair treatment from other Latinos.,2022-05-02T00:00:00+00:00,short reads
131,"Immigration was a top focus of early Biden coverage, especially among outlets with right-leaning audiences",Immigration was one of the five topics most covered by 25 major news outlets in the first 60 days of the Biden administration.,2021-05-12T00:00:00+00:00,short reads
132,"Muslims are a growing presence in U.S., but still face negative views from the public","The U.S. Muslim population has grown in the decades since 9/11, but views toward them have become increasingly polarized along political lines.",2021-09-01T00:00:00+00:00,short reads
133,Most Latinos say U.S. immigration system needs big changes,Latinos agree that the U.S. immigration system needs an overhaul; large shares say it requires major changes or needs to be completely rebuilt.,2021-04-20T00:00:00+00:00,short reads
134,Most Americans Are Critical of Government’s Handling of Situation at U.S.-Mexico Border,Republican support for allowing undocumented immigrants to remain legally in the United States has declined.,2021-05-03T00:00:00+00:00,report
135,"For U.S. Latinos, COVID-19 Has Taken a Personal and Financial Toll",Latinos say they and their loved ones have faced widespread job losses and serious illness due to COVID-19. Yet satisfaction with the nation’s direction is at highest level in a decade as most say the worst of the pandemic is behind us.,2021-07-15T00:00:00+00:00,report
136,Key facts about the changing U.S. unauthorized immigrant population,The unauthorized immigrant population’s size and composition has ebbed and flowed significantly over the past 30 years.,2021-04-13T00:00:00+00:00,short reads
137,"Biden Nears 100-Day Mark With Strong Approval, Positive Rating for Vaccine Rollout",The share of Americans viewing illegal immigration as a ‘very big’ problem has increased.,2021-04-15T00:00:00+00:00,report
138,"In both parties, fewer now say being Christian or being born in U.S. is important to being ‘truly American’",Republicans and Democrats continue to differ over the factors they see as important for being “truly American.”,2021-05-25T00:00:00+00:00,short reads
139,"Key facts about Asian Americans, a diverse and growing population",A record 22 million Asian Americans trace their roots to more than 20 countries in East and Southeast Asia and the Indian subcontinent.,2021-04-29T00:00:00+00:00,short reads
140,Which U.S. Workers Are More Exposed to AI on Their Jobs?,"In 2022, 19% of American workers were in jobs that are the most exposed to artificial intelligence, in which the most important activities may be either replaced or assisted by AI. Women, Asian, college-educated and higher-paid workers have more exposure to AI, but workers in the most exposed industries are more likely to say AI will help more than hurt them personally.",2023-07-26T00:00:00+00:00,report
